Item #,Wave,Applicable Tiers,Section (source),Question Text,Type,Property,Mandatory,Field Class,Predetermined Answer List,Source Row (FM&I tab)
2.5.2,1,"All (Simplified, Standard, Enhanced)",Simplified - D. ...,Remarks,Textbox,MASKYC CDD Docs person act on behalf specimen signature available remarks,No,Factual,,40
2.6,1,"All (Simplified, Standard, Enhanced)",Simplified - E. ...,"F. Is the copy of current Government-Issued Identification Documents (e.g. Identity Card, passport, etc.) available?",Dropdown,MASKYC CDD Docs person act on behalf gov issued ID docs,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),41
2.6.2,1,"All (Simplified, Standard, Enhanced)",Simplified - E. ...,Remarks,Textbox,MASKYC CDD Docs person act on behalf gov issued ID docs available remarks,No,Factual,,43
2.7,2,"Standard, Enhanced",Standard / Enhanced,G. Is the proof of residential address (where not available in Government-Issued Identification Documents) available?,Dropdown,MASKYC CDD Docs person act on behalf address proof,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),44
2.7.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs person act on behalf address proof available remarks,No,Factual,,46
3.1,2,"Standard, Enhanced",Standard / Enhanced,A. Is the Register of Shareholders/Members (or equivalent) available?,Dropdown,MASKYC CDD Docs customer register of shareholders,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),50
3.1.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs customer register of shareholders available remarks,No,Factual,,52
3.2.,2,"Standard, Enhanced",Standard / Enhanced,B. Is the Ownership and control structure (or equivalent) available?,Dropdown,MASKYC CDD Docs customer ownership control structure,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),53
3.2.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs customer ownership control structure available remarks,No,Factual,,55
3.3.,2,"Standard, Enhanced",Standard / Enhanced,C. Is an undertaking or declaration (or its equivalent) of its AML/CFT practices and its UBOs available (where applicable)? An undertaking or declaration (or its equivalent) of its AML/CFT practices and its ultimate beneficial owners with more than 25% effective shareholdings (where applicable) available?,Dropdown,MASKYC CDD Docs customer undertaking of AML practices and UBOs,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),56
3.3.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs customer undertaking of AML practices and UBOs available remarks,No,Factual,,58
3.4.,2,"Standard, Enhanced",Standard / Enhanced,"D. Is the Copy of current Government-Issued Identification Documents (e.g., Identity Card, passport, etc.) available?",Dropdown,MASKYC CDD Docs each UBO gov issued ID Docs,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),60
3.4.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs each UBO gov issued ID Docs available remarks,No,Factual,,62
3.5.,2,"Standard, Enhanced",Standard / Enhanced,E. Is the Proof of residential address (where not available in Government-Issued identification documents) available?,Dropdown,MASKYC CDD Docs each UBO address proof,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),63
3.5.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs each UBO address proof available remarks,No,Factual,,65
4.1.,2,"Standard, Enhanced",Standard / Enhanced,Has the Source of Funds and Source of Wealth declaration form been duly completed and executed?,Dropdown,MASKYC CDD Docs customer SOW SOF declaration completed or not,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),68
4.1.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs customer SOW SOF declaration not completed remarks,No,Factual,,70
5.1.,2,Enhanced only,Enhanced,"A. Is the Financial Statements, Management Accounts, Annual Reports, or other documentary proof of SOF and SOW available?",Dropdown,MASKYC CDD Docs customer corroborate SOW SOF,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),74
5.1.2,2,Enhanced only,Enhanced,Remarks,Textbox,MASKYC CDD Docs customer corroborate SOW SOF available remarks,No,Factual,,76
5.2.,2,Enhanced only,Enhanced,B. Has the Source of Funds and Source of Wealth declaration form been duly completed and executed for each UBO?,Dropdown,MASKYC CDD Docs each UBO SOW SOF declaration completed or not,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),78
5.2.2,2,Enhanced only,Enhanced,Remarks,Textbox,MASKYC CDD Docs each UBO SOW SOF declaration not completed remarks,No,Factual,,80
5.3,2,Enhanced only,Enhanced,"C. Is the Financial Statements, Management Accounts, Annual Reports, or other documentary proof of SOF and SOW available?",Dropdown,MASKYC CDD Docs each UBO corroborate SOW SOF,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),81
5.3.2,2,Enhanced only,Enhanced,Remarks,Textbox,MASKYC CDD Docs each UBO corroborate SOW SOF available remarks,No,Factual,,83
